     0.000 D | <> Log initialized.
     0.000 D | <> No migration needed from "PolyMC"
     0.000 D | <> No migration needed from "MultiMC"
     0.000 D | "Prism Launcher" , (c) 2013-2021  "Prism Launcher Contributors\n© 2021-2022 PolyMC Contributors \n© 2012-2021 MultiMC Contributors"
     0.000 D | Version                    :  "6.3"
     0.000 D | Git commit                 :  "39bba9cbfadc0aac3ef571a80e78a9fa3f5a0028"
     0.000 D | Git refspec                :  "refs/heads/stable"
     0.000 D | Work dir before adjustment :  "C:/Users/david/Desktop"
     0.000 D | Work dir after adjustment  :  "C:/Users/david/Desktop/Prism"
     0.004 D | Adjusted by                :  "Portable data path"
     0.005 D | Binary path                :  "C:/Users/david/Desktop/Prism"
     0.005 D | Application root path      :  "C:/Users/david/Desktop/Prism"
     0.005 D | ID of instance to launch   :  "1.19.3 Fabric"
     0.005 D | <> Paths set.
     0.008 D | Detected default console font: "Courier New" , substitutions: ""
     0.011 D | <> Settings loaded.
     0.011 D | Detecting proxy settings...
     0.011 D | Using no proxy is an option!
     0.011 D | <> Network done.
     0.013 D | Loading Application Language File for es ...
     0.013 D | Your language is "es"
     0.013 D | <> Translations loaded.
     0.014 D | Started watching  "C:/Users/david/Desktop/Prism/icons"
     0.014 D | Sorting icon list...
     0.015 D | <> Instance icons intialized.
     0.015 D | [Theme] <> Icon themes initialized.
     0.015 D | [Theme] <> Initializing Widget Themes
     0.015 D | [Theme] Determining System Theme...
     0.015 D | [Theme] System theme seems to be: "windowsvista"
     0.015 D | [Theme] Considering theme from theme factory: "windowsvista"
     0.015 D | [Theme] System theme has been determined to be: "windowsvista"
     0.015 D | [Theme] Loading Built-in Theme: "system"
     0.015 D | [Theme] Loading Built-in Theme: "dark"
     0.015 D | [Theme] Loading Built-in Theme: "bright"
     0.015 D | [Theme] Theme Folder Path:  "C:/Users/david/Desktop/Prism/themes"
     0.016 D | [Theme] <> Widget themes initialized.
     0.016 D | Instance path              :  "instances"
     0.016 D | Loading Instances...
     0.016 D | Discovering instances in "C:/Users/david/Desktop/Prism/instances"
     0.016 D | Found instance ID "1.19.3 Fabric"
     0.016 D | Will load group list now.
     0.017 D | Group list loaded.
     0.017 D | Loaded instance  "1.19.3 Fabric"  from  "C:/Users/david/Desktop/Prism/instances/1.19.3 Fabric"
     0.017 D | <> Instances loaded.
     0.017 D | Loading accounts...
     0.018 D | AccountList: Queued account with internal ID  "116f583c9ebb4cea9509ce4ae70b04b6"  to refresh
     0.018 D | Task "OfflineRefresh(0x24f3f5d0010)" starting for the first time
     0.018 D | AuthFlow: "Creando cuenta offline."
     0.018 D | Task "OfflineRefresh(0x24f3f5d0010)" succeeded
     0.018 D | Writing account list to "accounts.json"
     0.018 D | Building JSON data structure.
     0.018 D | Building account array.
     0.018 D | Writing account list to file.
     0.020 D | Saved account list to "accounts.json"
     0.020 D | RefreshSchedule: Background account refresh succeeded
     0.020 D | RefreshSchedule: Processing account  "<Offline>"  with internal ID  "116f583c9ebb4cea9509ce4ae70b04b6"
     0.020 D | <> Accounts loaded.
     0.021 D | <> Cache initialized.
     0.021 D | Downloading Translations Index...
     0.021 D | Task "NetJob(Translations Index)" starting for the first time
     0.025 D | <> Icon theme set.
     0.025 D | [Theme] applying theme "Sistema"
     0.025 D | <> Application theme set.
     0.029 D | <> Instance "1.19.3 Fabric" launching
     0.029 D | Task "LaunchController(0x24f3f5c3620)" starting for the first time
     0.031 D | Instance-type specific settings were loaded!
     0.034 D | 1
     0.080 D | Task "Net::Download(0x24f3f663d60)" starting for the first time
     0.081 D | Downloading  "https://i18n.prismlauncher.org/index_v2.json"
     0.126 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.128 D | Loading Application Language File for es ...
     0.243 D | Download succeeded: "https://i18n.prismlauncher.org/index_v2.json"
     0.243 D | Task "NetJob(Translations Index)" succeeded
     0.243 D | Got translations index!
     0.244 D | Task "NetJob(Translation for es)" starting for the first time
     0.244 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.245 D | Loading Application Language File for es ...
     0.245 D | Task "Net::Download(0x24f3f6644e0)" starting for the first time
     0.246 D | Downloading  "https://i18n.prismlauncher.org/ba7c7f8c4b67cfba512140c6d760dd8c10b5d998.class"
     0.247 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.248 D | Loading Application Language File for es ...
     0.288 D | Download succeeded: "https://i18n.prismlauncher.org/ba7c7f8c4b67cfba512140c6d760dd8c10b5d998.class"
     0.289 D | Task "NetJob(Translation for es)" succeeded
     0.289 D | Got translation: "es"
     0.289 D | Loading Application Language File for es ...
     0.289 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
