     0.000 D | <> Log initialized.
     0.000 D | <> No migration needed from "PolyMC"
     0.000 D | <> No migration needed from "MultiMC"
     0.000 D | "Prism Launcher" , (c) 2013-2021  "Prism Launcher Contributors\n© 2021-2022 PolyMC Contributors \n© 2012-2021 MultiMC Contributors"
     0.000 D | Version                    :  "6.3"
     0.000 D | Git commit                 :  "39bba9cbfadc0aac3ef571a80e78a9fa3f5a0028"
     0.000 D | Git refspec                :  "refs/heads/stable"
     0.000 D | Work dir before adjustment :  "C:/Users/david/Documents/Gittest/Prism"
     0.000 D | Work dir after adjustment  :  "C:/Users/david/Documents/Gittest/Prism/Prism"
     0.004 D | Adjusted by                :  "Portable data path"
     0.004 D | Binary path                :  "C:/Users/david/Documents/Gittest/Prism/Prism"
     0.004 D | Application root path      :  "C:/Users/david/Documents/Gittest/Prism/Prism"
     0.004 D | ID of instance to launch   :  "1.19.3 Fabric"
     0.005 D | <> Paths set.
     0.008 D | Detected default console font: "Courier New" , substitutions: ""
     0.010 D | <> Settings loaded.
     0.011 D | Detecting proxy settings...
     0.011 D | Using no proxy is an option!
     0.011 D | <> Network done.
     0.013 D | Loading Application Language File for es ...
     0.013 D | Your language is "es"
     0.013 D | <> Translations loaded.
     0.014 D | Started watching  "C:/Users/david/Documents/Gittest/Prism/Prism/icons"
     0.014 D | Sorting icon list...
     0.014 D | <> Instance icons intialized.
     0.015 D | [Theme] <> Icon themes initialized.
     0.015 D | [Theme] <> Initializing Widget Themes
     0.015 D | [Theme] Determining System Theme...
     0.015 D | [Theme] System theme seems to be: "windowsvista"
     0.015 D | [Theme] Considering theme from theme factory: "windowsvista"
     0.015 D | [Theme] System theme has been determined to be: "windowsvista"
     0.015 D | [Theme] Loading Built-in Theme: "system"
     0.015 D | [Theme] Loading Built-in Theme: "dark"
     0.015 D | [Theme] Loading Built-in Theme: "bright"
     0.015 D | [Theme] Theme Folder Path:  "C:/Users/david/Documents/Gittest/Prism/Prism/themes"
     0.015 D | [Theme] <> Widget themes initialized.
     0.015 D | Instance path              :  "instances"
     0.016 D | Loading Instances...
     0.016 D | Discovering instances in "C:/Users/david/Documents/Gittest/Prism/Prism/instances"
     0.016 D | Found instance ID "1.19.3 Fabric"
     0.016 D | Will load group list now.
     0.017 D | Group list loaded.
     0.017 D | Loaded instance  "1.19.3 Fabric"  from  "C:/Users/david/Documents/Gittest/Prism/Prism/instances/1.19.3 Fabric"
     0.018 D | <> Instances loaded.
     0.018 D | Loading accounts...
     0.018 D | AccountList: Queued default account with internal ID  "b983edf0d5414846962e9323156f5eb0"  to refresh first
     0.018 D | Task "OfflineRefresh(0x16d026b1030)" starting for the first time
     0.018 D | AuthFlow: "Creando cuenta offline."
     0.018 D | Task "OfflineRefresh(0x16d026b1030)" succeeded
     0.018 D | Writing account list to "accounts.json"
     0.019 D | Building JSON data structure.
     0.019 D | Building account array.
     0.019 D | Writing account list to file.
     0.020 D | Saved account list to "accounts.json"
     0.020 D | RefreshSchedule: Background account refresh succeeded
     0.020 D | RefreshSchedule: Processing account  "<Offline>"  with internal ID  "b983edf0d5414846962e9323156f5eb0"
     0.020 D | <> Accounts loaded.
     0.022 D | <> Cache initialized.
     0.022 D | Downloading Translations Index...
     0.022 W | Removing cache entry because of old age!
     0.022 D | Task "NetJob(Translations Index)" starting for the first time
     0.026 D | <> Icon theme set.
     0.026 D | [Theme] applying theme "Sistema"
     0.026 D | <> Application theme set.
     0.030 D | <> Instance "1.19.3 Fabric" launching
     0.030 D | Task "LaunchController(0x16d0053c3c0)" starting for the first time
     0.032 D | Instance-type specific settings were loaded!
     0.397 D | Task "LaunchTask(0x16d026a1660)" starting for the first time
     0.397 D | Task "TextPrint(0x16d005cbbe0)" starting for the first time
     0.398 D | Task "TextPrint(0x16d005cbbe0)" succeeded
     0.398 D | Task "TextPrint(0x16d005cd130)" starting for the first time
     0.398 D | Task "TextPrint(0x16d005cd130)" succeeded
     0.398 D | Task "TextPrint(0x16d005cbb30)" starting for the first time
     0.398 D | Task "TextPrint(0x16d005cbb30)" succeeded
     0.398 D | Task "TextPrint(0x16d005cb710)" starting for the first time
     0.398 D | Task "TextPrint(0x16d005cb710)" succeeded
     0.398 D | Task "CheckJava(0x16d005f2fa0)" starting for the first time
     0.399 D | "Running java checker: C:/Program Files/Common Files/Oracle/Java/javapath/javaw.exe-jar C:/Users/david/Documents/Gittest/Prism/Prism/jars/JavaCheck.jar"
     0.405 D | Task "Net::Download(0x16d005bb8f0)" starting for the first time
     0.406 D | Downloading  "https://i18n.prismlauncher.org/index_v2.json"
     0.456 D | Dir changed: "C:/Users/david/Documents/Gittest/Prism/Prism/translations"
