     0.000 D | <> Log initialized.
     0.000 D | <> No migration needed from "PolyMC"
     0.000 D | <> No migration needed from "MultiMC"
     0.000 D | "Prism Launcher" , (c) 2013-2021  "Prism Launcher Contributors\n© 2021-2022 PolyMC Contributors \n© 2012-2021 MultiMC Contributors"
     0.000 D | Version                    :  "6.3"
     0.000 D | Git commit                 :  "39bba9cbfadc0aac3ef571a80e78a9fa3f5a0028"
     0.000 D | Git refspec                :  "refs/heads/stable"
     0.000 D | Work dir before adjustment :  "C:/Users/david/Desktop"
     0.000 D | Work dir after adjustment  :  "C:/Users/david/Desktop/Prism"
     0.001 D | Adjusted by                :  "Portable data path"
     0.001 D | Binary path                :  "C:/Users/david/Desktop/Prism"
     0.001 D | Application root path      :  "C:/Users/david/Desktop/Prism"
     0.001 D | ID of instance to launch   :  "1.19.3 Fabric"
     0.001 D | <> Paths set.
     0.005 D | Detected default console font: "Courier New" , substitutions: ""
     0.008 D | <> Settings loaded.
     0.008 D | Detecting proxy settings...
     0.008 D | Using no proxy is an option!
     0.008 D | <> Network done.
     0.010 D | Loading Application Language File for es ...
     0.010 D | Your language is "es"
     0.010 D | <> Translations loaded.
     0.011 D | Started watching  "C:/Users/david/Desktop/Prism/icons"
     0.011 D | Sorting icon list...
     0.011 D | <> Instance icons intialized.
     0.012 D | [Theme] <> Icon themes initialized.
     0.012 D | [Theme] <> Initializing Widget Themes
     0.012 D | [Theme] Determining System Theme...
     0.012 D | [Theme] System theme seems to be: "windowsvista"
     0.012 D | [Theme] Considering theme from theme factory: "windowsvista"
     0.012 D | [Theme] System theme has been determined to be: "windowsvista"
     0.012 D | [Theme] Loading Built-in Theme: "system"
     0.012 D | [Theme] Loading Built-in Theme: "dark"
     0.012 D | [Theme] Loading Built-in Theme: "bright"
     0.012 D | [Theme] Theme Folder Path:  "C:/Users/david/Desktop/Prism/themes"
     0.012 D | [Theme] <> Widget themes initialized.
     0.013 D | Instance path              :  "instances"
     0.013 D | Loading Instances...
     0.013 D | Discovering instances in "C:/Users/david/Desktop/Prism/instances"
     0.013 D | Found instance ID "1.19.3 Fabric"
     0.013 D | Will load group list now.
     0.014 D | Group list loaded.
     0.014 D | Loaded instance  "1.19.3 Fabric"  from  "C:/Users/david/Desktop/Prism/instances/1.19.3 Fabric"
     0.014 D | <> Instances loaded.
     0.014 D | Loading accounts...
     0.019 D | AccountList: Queued default account with internal ID  "1a17740792a3474f8061e6ab7fb1f130"  to refresh first
     0.019 D | Task "OfflineRefresh(0x29141b51560)" starting for the first time
     0.019 D | AuthFlow: "Creando cuenta offline."
     0.019 D | Task "OfflineRefresh(0x29141b51560)" succeeded
     0.019 D | Writing account list to "accounts.json"
     0.019 D | Building JSON data structure.
     0.019 D | Building account array.
     0.019 D | Writing account list to file.
     0.021 D | Saved account list to "accounts.json"
     0.021 D | RefreshSchedule: Background account refresh succeeded
     0.021 D | RefreshSchedule: Processing account  "<Offline>"  with internal ID  "1a17740792a3474f8061e6ab7fb1f130"
     0.021 D | <> Accounts loaded.
     0.021 D | <> Cache initialized.
     0.022 D | Downloading Translations Index...
     0.022 D | Task "NetJob(Translations Index)" starting for the first time
     0.026 D | <> Icon theme set.
     0.026 D | [Theme] applying theme "Sistema"
     0.026 D | <> Application theme set.
     0.031 D | <> Instance "1.19.3 Fabric" launching
     0.031 D | Task "LaunchController(0x29141b5e1b0)" starting for the first time
     0.034 D | Instance-type specific settings were loaded!
     0.407 D | Task "LaunchTask(0x29143ce5e80)" starting for the first time
     0.407 D | Task "TextPrint(0x29143d68000)" starting for the first time
     0.408 D | Task "TextPrint(0x29143d68000)" succeeded
     0.408 D | Task "TextPrint(0x29143d682c0)" starting for the first time
     0.408 D | Task "TextPrint(0x29143d682c0)" succeeded
     0.408 D | Task "TextPrint(0x29143d69290)" starting for the first time
     0.408 D | Task "TextPrint(0x29143d69290)" succeeded
     0.408 D | Task "TextPrint(0x29143d686e0)" starting for the first time
     0.408 D | Task "TextPrint(0x29143d686e0)" succeeded
     0.408 D | Task "CheckJava(0x29143d82200)" starting for the first time
     0.409 D | "Running java checker: C:/Program Files/Common Files/Oracle/Java/javapath/javaw.exe-jar C:/Users/david/Desktop/Prism/jars/JavaCheck.jar"
     0.415 D | Task "Net::Download(0x29141b51fe0)" starting for the first time
     0.415 D | Downloading  "https://i18n.prismlauncher.org/index_v2.json"
     0.465 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.466 D | Loading Application Language File for es ...
     0.524 D | STDOUT "os.arch=amd64\njava.version=17.0.7\njava.vendor=Oracle Corporation\n"
     0.524 W | STDERR ""
     0.524 D | Java checker finished with status  QProcess::NormalExit  exit code  0
