     0.000 D | <> Log initialized.
     0.000 D | <> No migration needed from "PolyMC"
     0.000 D | <> No migration needed from "MultiMC"
     0.000 D | "Prism Launcher" , (c) 2013-2021  "Prism Launcher Contributors\n© 2021-2022 PolyMC Contributors \n© 2012-2021 MultiMC Contributors"
     0.000 D | Version                    :  "6.3"
     0.000 D | Git commit                 :  "39bba9cbfadc0aac3ef571a80e78a9fa3f5a0028"
     0.000 D | Git refspec                :  "refs/heads/stable"
     0.000 D | Work dir before adjustment :  "C:/Users/david/Desktop"
     0.000 D | Work dir after adjustment  :  "C:/Users/david/Desktop/Prism"
     0.000 D | Adjusted by                :  "Portable data path"
     0.000 D | Binary path                :  "C:/Users/david/Desktop/Prism"
     0.000 D | Application root path      :  "C:/Users/david/Desktop/Prism"
     0.000 D | ID of instance to launch   :  "1.19.3 Fabric"
     0.000 D | <> Paths set.
     0.004 D | Detected default console font: "Courier New" , substitutions: ""
     0.006 D | <> Settings loaded.
     0.007 D | Detecting proxy settings...
     0.007 D | Using no proxy is an option!
     0.007 D | <> Network done.
     0.009 D | Loading Application Language File for es ...
     0.009 D | Your language is "es"
     0.009 D | <> Translations loaded.
     0.010 D | Started watching  "C:/Users/david/Desktop/Prism/icons"
     0.010 D | Sorting icon list...
     0.011 D | <> Instance icons intialized.
     0.011 D | [Theme] <> Icon themes initialized.
     0.011 D | [Theme] <> Initializing Widget Themes
     0.011 D | [Theme] Determining System Theme...
     0.012 D | [Theme] System theme seems to be: "windowsvista"
     0.012 D | [Theme] Considering theme from theme factory: "windowsvista"
     0.012 D | [Theme] System theme has been determined to be: "windowsvista"
     0.012 D | [Theme] Loading Built-in Theme: "system"
     0.012 D | [Theme] Loading Built-in Theme: "dark"
     0.012 D | [Theme] Loading Built-in Theme: "bright"
     0.012 D | [Theme] Theme Folder Path:  "C:/Users/david/Desktop/Prism/themes"
     0.012 D | [Theme] <> Widget themes initialized.
     0.012 D | Instance path              :  "instances"
     0.012 D | Loading Instances...
     0.013 D | Discovering instances in "C:/Users/david/Desktop/Prism/instances"
     0.013 D | Found instance ID "1.19.3 Fabric"
     0.013 D | Will load group list now.
     0.013 D | Group list loaded.
     0.014 D | Loaded instance  "1.19.3 Fabric"  from  "C:/Users/david/Desktop/Prism/instances/1.19.3 Fabric"
     0.014 D | <> Instances loaded.
     0.014 D | Loading accounts...
     0.014 D | AccountList: Queued default account with internal ID  "2ce5b362bdde4efbbb14a63bb4dba2de"  to refresh first
     0.014 D | Task "OfflineRefresh(0x1649b7447f0)" starting for the first time
     0.014 D | AuthFlow: "Creando cuenta offline."
     0.014 D | Task "OfflineRefresh(0x1649b7447f0)" succeeded
     0.014 D | Writing account list to "accounts.json"
     0.015 D | Building JSON data structure.
     0.015 D | Building account array.
     0.015 D | Writing account list to file.
     0.016 D | Saved account list to "accounts.json"
     0.016 D | RefreshSchedule: Background account refresh succeeded
     0.016 D | RefreshSchedule: Processing account  "<Offline>"  with internal ID  "2ce5b362bdde4efbbb14a63bb4dba2de"
     0.016 D | <> Accounts loaded.
     0.017 D | <> Cache initialized.
     0.017 D | Downloading Translations Index...
     0.018 D | Task "NetJob(Translations Index)" starting for the first time
     0.021 D | <> Icon theme set.
     0.021 D | [Theme] applying theme "Sistema"
     0.022 D | <> Application theme set.
     0.025 D | <> Instance "1.19.3 Fabric" launching
     0.025 D | Task "LaunchController(0x1649b74e2c0)" starting for the first time
     0.027 D | Instance-type specific settings were loaded!
     0.432 D | Task "LaunchTask(0x1649d9a6650)" starting for the first time
     0.433 D | Task "TextPrint(0x1649b7f8880)" starting for the first time
     0.433 D | Task "TextPrint(0x1649b7f8880)" succeeded
     0.434 D | Task "TextPrint(0x1649b7f7ee0)" starting for the first time
     0.434 D | Task "TextPrint(0x1649b7f7ee0)" succeeded
     0.434 D | Task "TextPrint(0x1649b7f8300)" starting for the first time
     0.434 D | Task "TextPrint(0x1649b7f8300)" succeeded
     0.434 D | Task "TextPrint(0x1649b7f7ac0)" starting for the first time
     0.434 D | Task "TextPrint(0x1649b7f7ac0)" succeeded
     0.434 D | Task "CheckJava(0x1649b7ea100)" starting for the first time
     0.434 D | "Running java checker: C:/Program Files/Common Files/Oracle/Java/javapath/javaw.exe-jar C:/Users/david/Desktop/Prism/jars/JavaCheck.jar"
     0.440 D | Task "Net::Download(0x1649b7e9c80)" starting for the first time
     0.440 D | Downloading  "https://i18n.prismlauncher.org/index_v2.json"
     0.488 D | Dir changed: "C:/Users/david/Desktop/Prism/translations"
     0.490 D | Loading Application Language File for es ...
     0.555 D | STDOUT "os.arch=amd64\njava.version=17.0.7\njava.vendor=Oracle Corporation\n"
     0.555 W | STDERR ""
